       wId wName                                          wCap        sId        nId
         0 Supplier#000000051____CANADA                  12438         51          3
         0 Supplier#000000051____CANADA                  12438         51          3
         0 Supplier#000000051____CANADA                  12438         51          3
         0 Supplier#000000051____CANADA                  12438         51          3
         0 Supplier#000000051____CANADA                  12438         51          3
         0 Supplier#000000051____CANADA                  12438         51          3
         0 Supplier#000000051____CANADA                  12438         51          3
         0 Supplier#000000051____CANADA                  12438         51          3
         1 Supplier#000000001___EGYPT                     2044          1          4
         1 Supplier#000000051____SAUDI ARABIA            12438         51         20
         1 Supplier#000000051____SAUDI ARABIA            12438         51         20
         1 Supplier#000000051____SAUDI ARABIA            12438         51         20
         1 Supplier#000000051____SAUDI ARABIA            12438         51         20
         1 Supplier#000000051____SAUDI ARABIA            12438         51         20
         1 Supplier#000000051____SAUDI ARABIA            12438         51         20
         1 Supplier#000000051____SAUDI ARABIA            12438         51         20
         1 Supplier#000000051____SAUDI ARABIA            12438         51         20
         2 Supplier#000000001___ROMANIA                   2044          1         19
         2 Supplier#000000051____EGYPT                   12438         51          4
         2 Supplier#000000051____EGYPT                   12438         51          4
         2 Supplier#000000051____EGYPT                   12438         51          4
         2 Supplier#000000051____EGYPT                   12438         51          4
         2 Supplier#000000051____EGYPT                   12438         51          4
         2 Supplier#000000051____EGYPT                   12438         51          4
         2 Supplier#000000051____EGYPT                   12438         51          4
         2 Supplier#000000051____EGYPT                   12438         51          4
         3 Supplier#000000002___VIETNAM                   1876          2         21
         3 Supplier#000000099____INDONESIA               11043         99          9
         3 Supplier#000000099____INDONESIA               11043         99          9
         3 Supplier#000000099____INDONESIA               11043         99          9
         3 Supplier#000000099____INDONESIA               11043         99          9
         3 Supplier#000000099____INDONESIA               11043         99          9
         3 Supplier#000000099____INDONESIA               11043         99          9
         3 Supplier#000000099____INDONESIA               11043         99          9
         3 Supplier#000000099____INDONESIA               11043         99          9
         4 Supplier#000000002___SAUDI ARABIA              1876          2         20
         4 Supplier#000000099____BRAZIL                  11043         99          2
         4 Supplier#000000099____BRAZIL                  11043         99          2
         4 Supplier#000000099____BRAZIL                  11043         99          2
         4 Supplier#000000099____BRAZIL                  11043         99          2
         4 Supplier#000000099____BRAZIL                  11043         99          2
         4 Supplier#000000099____BRAZIL                  11043         99          2
         4 Supplier#000000099____BRAZIL                  11043         99          2
         4 Supplier#000000099____BRAZIL                  11043         99          2
         5 Supplier#000000003___ALGERIA                   2006          3          0
         5 Supplier#000000099____MOROCCO                 11043         99         15
         5 Supplier#000000099____MOROCCO                 11043         99         15
         5 Supplier#000000099____MOROCCO                 11043         99         15
         5 Supplier#000000099____MOROCCO                 11043         99         15
         5 Supplier#000000099____MOROCCO                 11043         99         15
         5 Supplier#000000099____MOROCCO                 11043         99         15
         5 Supplier#000000099____MOROCCO                 11043         99         15
         5 Supplier#000000099____MOROCCO                 11043         99         15
         6 Supplier#000000003___JAPAN                     2006          3         12
         6 Supplier#000000090____IRAN                     8361         90         10
         6 Supplier#000000090____IRAN                     8361         90         10
         6 Supplier#000000090____IRAN                     8361         90         10
         6 Supplier#000000090____IRAN                     8361         90         10
         6 Supplier#000000090____IRAN                     8361         90         10
         6 Supplier#000000090____IRAN                     8361         90         10
         6 Supplier#000000090____IRAN                     8361         90         10
         6 Supplier#000000090____IRAN                     8361         90         10
         7 Supplier#000000004___CANADA                    2246          4          3
         7 Supplier#000000090____MOROCCO                  8361         90         15
         7 Supplier#000000090____MOROCCO                  8361         90         15
         7 Supplier#000000090____MOROCCO                  8361         90         15
         7 Supplier#000000090____MOROCCO                  8361         90         15
         7 Supplier#000000090____MOROCCO                  8361         90         15
         7 Supplier#000000090____MOROCCO                  8361         90         15
         7 Supplier#000000090____MOROCCO                  8361         90         15
         7 Supplier#000000090____MOROCCO                  8361         90         15
